x_bins,y_bins,0
28,2,25
28,1,14
28,15,11
3,2,8
29,1,7
1,9,6
25,15,6
22,6,5
27,11,5
26,8,5
25,7,5
1,8,5
25,8,5
4,2,5
4,6,5
27,8,4
26,5,4
17,6,4
1,10,4
21,6,4
27,7,4
2,12,3
25,6,3
24,11,3
24,9,3
4,15,3
17,5,3
8,6,3
3,1,3
19,5,3
20,5,3
2,8,3
1,7,3
30,1,3
1,11,3
31,4,2
32,2,2
31,7,2
17,8,2
11,6,2
23,7,2
16,5,2
5,5,2
22,14,2
18,6,2
32,3,2
32,4,2
32,5,2
4,7,2
25,10,2
31,3,2
26,7,2
11,15,2
26,13,2
26,12,2
27,13,2
26,9,2
14,6,2
26,6,2
14,5,2
1,13,2
11,2,1
13,1,1
11,7,1
10,10,1
10,7,1
12,8,1
8,13,1
11,9,1
32,10,1
7,5,1
7,4,1
1,6,1
1,12,1
1,15,1
2,6,1
2,7,1
2,10,1
2,14,1
3,7,1
13,4,1
4,8,1
4,11,1
4,12,1
5,4,1
5,6,1
5,7,1
5,8,1
7,3,1
13,2,1
20,3,1
13,5,1
27,12,1
25,3,1
25,11,1
26,11,1
26,15,1
27,2,1
27,3,1
27,5,1
27,6,1
27,9,1
28,3,1
24,7,1
28,4,1
28,5,1
28,9,1
29,4,1
29,9,1
29,12,1
30,3,1
30,6,1
31,2,1
24,10,1
24,3,1
13,7,1
19,7,1
13,8,1
14,3,1
16,2,1
16,3,1
17,9,1
17,12,1
18,5,1
18,9,1
19,3,1
20,1,1
23,14,1
32,6,1
20,9,1
21,1,1
21,5,1
22,5,1
22,7,1
23,6,1
23,8,1
23,11,1
1,5,1
